Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
BRA1,Serie A,2012,2012-06-06,23:30,Atletico GO,Gremio,0.0,1.0,A,2.31,3.56,3.25,2.4,3.56,3.27,2.28,3.26,2.96
BRA1,Serie A,2012,2012-06-06,23:30,Sport Recife,Palmeiras,2.0,1.0,H,2.62,3.39,2.9,2.69,3.39,2.9,2.46,3.17,2.77
BRA1,Serie A,2012,2012-06-07,00:30,Atletico-MG,Bahia,1.0,1.0,D,1.46,4.55,8.5,1.5,4.69,9.0,1.43,4.13,7.23
BRA1,Serie A,2012,2012-06-07,00:30,Coritiba,Portuguesa,2.0,0.0,H,1.7,3.94,5.59,1.7,3.97,6.0,1.59,3.72,5.37
BRA1,Serie A,2012,2012-06-07,00:30,Vasco,Nautico,4.0,2.0,H,1.4,4.99,9.42,1.4,5.04,10.0,1.37,4.4,8.19
BRA1,Serie A,2012,2012-06-07,01:50,Internacional,Sao Paulo,1.0,0.0,H,1.83,3.77,4.75,2.0,3.77,4.75,1.86,3.41,4.03
BRA1,Serie A,2012,2012-06-07,01:50,Ponte Preta,Flamengo RJ,2.0,2.0,D,2.52,3.53,2.94,2.8,3.54,2.94,2.55,3.21,2.67
BRA1,Serie A,2012,2012-06-07,01:50,Santos,Fluminense,1.0,1.0,D,2.15,3.45,3.77,2.2,3.45,4.0,2.02,3.23,3.63
BRA1,Serie A,2012,2012-06-08,01:00,Botafogo RJ,Cruzeiro,2.0,3.0,A,2.17,3.39,3.79,2.24,3.52,4.09,2.02,3.32,3.58
BRA1,Serie A,2012,2012-06-08,01:00,Corinthians,Figueirense,1.0,1.0,D,1.61,4.12,6.35,1.63,4.13,6.5,1.56,3.77,5.68
BRA1,Serie A,2012,2012-06-09,22:30,Flamengo RJ,Coritiba,3.0,1.0,H,2.06,3.51,3.95,2.12,3.52,4.75,1.93,3.34,3.83
BRA1,Serie A,2012,2012-06-10,01:00,Palmeiras,Atletico-MG,0.0,1.0,A,2.06,3.69,3.79,2.2,3.7,3.85,2.05,3.37,3.39
BRA1,Serie A,2012,2012-06-10,20:00,Portuguesa,Atletico GO,2.0,0.0,H,2.19,3.43,3.67,2.29,3.43,3.75,2.08,3.26,3.4
BRA1,Serie A,2012,2012-06-10,21:00,Bahia,Vasco,1.0,2.0,A,3.04,3.47,2.48,3.25,3.47,2.48,2.93,3.24,2.31
BRA1,Serie A,2012,2012-06-10,21:00,Fluminense,Internacional,0.0,0.0,D,1.96,3.43,4.59,1.98,3.43,4.7,1.92,3.27,3.95
BRA1,Serie A,2012,2012-06-10,21:00,Gremio,Corinthians,2.0,0.0,H,1.53,4.24,7.45,1.73,4.29,7.54,1.53,3.84,6.06
BRA1,Serie A,2012,2012-06-10,22:30,Cruzeiro,Sport Recife,1.0,0.0,H,1.54,4.26,7.3,1.7,4.42,7.32,1.55,3.83,5.76
BRA1,Serie A,2012,2012-06-10,22:30,Figueirense,Ponte Preta,0.0,0.0,D,1.85,3.71,4.71,1.86,3.75,5.0,1.74,3.51,4.52
BRA1,Serie A,2012,2012-06-10,22:30,Nautico,Botafogo RJ,3.0,2.0,H,2.33,3.58,3.18,2.7,3.64,3.18,2.35,3.36,2.8
BRA1,Serie A,2012,2012-06-10,22:30,Sao Paulo,Santos,1.0,0.0,H,1.85,3.7,4.74,1.88,3.76,4.74,1.83,3.42,4.11
BRA1,Serie A,2012,2012-06-16,22:30,Cruzeiro,Figueirense,1.0,0.0,H,1.77,3.85,5.09,1.79,4.09,5.09,1.72,3.53,4.54
BRA1,Serie A,2012,2012-06-16,22:30,Internacional,Botafogo RJ,1.0,2.0,A,1.61,4.37,5.94,1.61,4.59,6.5,1.54,3.91,5.7
BRA1,Serie A,2012,2012-06-17,01:00,Fluminense,Portuguesa,4.0,1.0,H,1.54,4.38,6.98,1.58,4.38,8.0,1.46,4.04,6.8
BRA1,Serie A,2012,2012-06-17,20:00,Bahia,Sport Recife,2.0,1.0,H,1.93,3.54,4.51,2.1,3.54,4.51,1.96,3.34,3.68
BRA1,Serie A,2012,2012-06-17,20:00,Flamengo RJ,Santos,1.0,0.0,H,1.75,3.96,5.13,1.76,3.97,5.65,1.63,3.65,5.12
BRA1,Serie A,2012,2012-06-17,20:00,Palmeiras,Vasco,1.0,1.0,D,2.38,3.55,3.14,2.45,3.56,3.32,2.33,3.24,2.91
BRA1,Serie A,2012,2012-06-17,20:00,Sao Paulo,Atletico-MG,1.0,0.0,H,2.31,3.24,3.53,2.31,3.39,3.75,2.1,3.23,3.38
BRA1,Serie A,2012,2012-06-17,22:30,Coritiba,Atletico GO,3.0,0.0,H,1.94,3.7,4.22,2.02,3.7,4.59,1.83,3.42,4.08
BRA1,Serie A,2012,2012-06-17,22:30,Nautico,Gremio,1.0,0.0,H,2.7,3.42,2.8,2.7,3.47,2.94,2.44,3.26,2.73
BRA1,Serie A,2012,2012-06-17,22:30,Ponte Preta,Corinthians,1.0,0.0,H,2.19,3.66,3.44,2.29,3.66,3.75,2.15,3.24,3.23
BRA1,Serie A,2012,2012-06-23,22:30,Portuguesa,Sao Paulo,1.0,0.0,H,3.42,3.8,2.15,3.51,3.8,2.35,3.07,3.28,2.22
BRA1,Serie A,2012,2012-06-23,22:30,Vasco,Cruzeiro,1.0,3.0,A,1.8,3.91,4.76,1.8,4.0,5.0,1.72,3.59,4.53
BRA1,Serie A,2012,2012-06-24,01:00,Atletico-MG,Nautico,5.0,1.0,H,1.35,5.09,10.75,1.44,5.5,11.04,1.35,4.54,8.38
BRA1,Serie A,2012,2012-06-24,20:00,Corinthians,Palmeiras,2.0,1.0,H,2.92,3.35,2.63,2.92,3.35,2.77,2.65,3.1,2.62
BRA1,Serie A,2012,2012-06-24,20:00,Figueirense,Bahia,1.0,1.0,D,1.59,4.0,6.99,1.65,4.09,6.99,1.59,3.74,5.46
BRA1,Serie A,2012,2012-06-24,20:00,Gremio,Flamengo RJ,2.0,0.0,H,1.63,3.97,6.33,1.78,3.99,6.44,1.66,3.66,4.92
BRA1,Serie A,2012,2012-06-24,22:30,Atletico GO,Fluminense,1.0,4.0,A,2.78,3.46,2.69,2.9,3.46,2.76,2.8,3.22,2.41
BRA1,Serie A,2012,2012-06-24,22:30,Botafogo RJ,Ponte Preta,1.0,2.0,A,1.55,4.24,7.18,1.68,4.28,7.18,1.58,3.82,5.41
BRA1,Serie A,2012,2012-06-24,22:30,Santos,Coritiba,2.0,2.0,D,1.69,4.12,5.35,1.74,4.16,5.75,1.6,3.78,5.18
BRA1,Serie A,2012,2012-06-24,22:30,Sport Recife,Internacional,0.0,2.0,A,2.93,3.33,2.65,3.25,3.33,2.65,2.88,3.15,2.4
BRA1,Serie A,2012,2012-06-30,20:20,Cruzeiro,Sao Paulo,2.0,3.0,A,2.09,3.48,3.92,2.2,3.6,3.92,2.04,3.3,3.47
BRA1,Serie A,2012,2012-06-30,20:20,Nautico,Fluminense,0.0,2.0,A,3.14,3.43,2.45,3.14,3.43,2.75,2.86,3.24,2.35
BRA1,Serie A,2012,2012-06-30,22:30,Vasco,Ponte Preta,3.0,2.0,H,1.58,4.23,6.5,1.58,4.8,8.0,1.46,4.03,6.78
BRA1,Serie A,2012,2012-07-01,20:00,Bahia,Internacional,1.0,1.0,D,2.98,3.41,2.54,3.1,3.5,2.56,2.9,3.16,2.38
BRA1,Serie A,2012,2012-07-01,20:00,Coritiba,Sport Recife,2.0,3.0,A,1.7,3.95,5.51,1.71,4.2,5.64,1.66,3.58,5.01
BRA1,Serie A,2012,2012-07-01,20:00,Portuguesa,Santos,0.0,0.0,D,3.93,3.56,2.04,4.01,3.7,2.1,3.52,3.32,2.02
BRA1,Serie A,2012,2012-07-01,22:30,Flamengo RJ,Atletico GO,3.0,2.0,H,1.76,3.75,5.38,1.76,4.5,6.0,1.59,3.71,5.44
BRA1,Serie A,2012,2012-07-01,22:30,Gremio,Atletico-MG,0.0,1.0,A,1.97,3.51,4.42,2.0,3.8,4.42,1.93,3.31,3.8
BRA1,Serie A,2012,2012-07-01,22:30,Palmeiras,Figueirense,3.0,1.0,H,1.97,3.55,4.33,2.22,3.55,4.33,2.0,3.28,3.64
BRA1,Serie A,2012,2012-07-07,22:30,Botafogo RJ,Bahia,3.0,0.0,H,1.56,4.24,6.88,1.6,4.24,6.88,1.55,3.77,5.85
BRA1,Serie A,2012,2012-07-07,22:30,Internacional,Cruzeiro,2.0,1.0,H,1.84,3.69,4.88,1.84,3.69,5.25,1.75,3.48,4.55
BRA1,Serie A,2012,2012-07-08,01:00,Atletico GO,Nautico,0.0,1.0,A,1.66,4.26,5.44,1.8,4.26,5.67,1.65,3.78,4.86
BRA1,Serie A,2012,2012-07-08,20:00,Figueirense,Vasco,1.0,1.0,D,2.43,3.36,3.22,2.48,3.41,3.31,2.31,3.2,2.99
BRA1,Serie A,2012,2012-07-08,20:00,Fluminense,Flamengo RJ,1.0,0.0,H,2.04,3.67,3.85,2.09,3.67,4.0,1.96,3.35,3.67
BRA1,Serie A,2012,2012-07-08,20:00,Santos,Gremio,4.0,2.0,H,2.0,3.62,4.13,2.02,3.74,4.34,1.87,3.38,3.99
BRA1,Serie A,2012,2012-07-08,20:00,Sao Paulo,Coritiba,3.0,1.0,H,1.53,4.58,6.76,1.56,4.58,7.75,1.46,4.07,6.85
BRA1,Serie A,2012,2012-07-08,22:30,Atletico-MG,Portuguesa,2.0,0.0,H,1.43,5.09,7.9,1.47,5.09,8.5,1.39,4.4,7.52
BRA1,Serie A,2012,2012-07-08,22:30,Ponte Preta,Palmeiras,1.0,0.0,H,2.27,3.33,3.56,2.29,3.35,3.75,2.12,3.22,3.36
BRA1,Serie A,2012,2012-07-08,22:30,Sport Recife,Corinthians,1.0,1.0,D,2.41,3.48,3.14,2.5,3.48,3.4,2.22,3.22,3.11
BRA1,Serie A,2012,2012-07-11,23:30,Corinthians,Botafogo RJ,1.0,3.0,A,2.06,3.54,3.93,2.06,3.54,4.33,1.89,3.32,3.94
BRA1,Serie A,2012,2012-07-14,22:30,Corinthians,Nautico,2.0,1.0,H,1.41,4.9,9.3,1.45,4.9,9.3,1.41,4.31,7.41
BRA1,Serie A,2012,2012-07-14,22:30,Figueirense,Atletico-MG,3.0,4.0,A,2.74,3.38,2.78,2.74,3.7,3.0,2.47,3.24,2.7
BRA1,Serie A,2012,2012-07-15,01:00,Ponte Preta,Coritiba,4.0,1.0,H,2.68,3.34,2.88,2.68,3.75,3.5,2.32,3.21,2.98
BRA1,Serie A,2012,2012-07-15,20:00,Bahia,Flamengo RJ,1.0,2.0,A,2.27,3.5,3.4,2.36,3.6,3.4,2.25,3.26,3.02
BRA1,Serie A,2012,2012-07-15,20:00,Botafogo RJ,Fluminense,1.0,1.0,D,2.6,3.48,2.86,2.88,3.6,2.86,2.57,3.24,2.61
BRA1,Serie A,2012,2012-07-15,20:00,Cruzeiro,Gremio,1.0,3.0,A,1.98,3.62,4.19,2.0,3.8,4.33,1.93,3.38,3.75
BRA1,Serie A,2012,2012-07-15,20:00,Internacional,Santos,0.0,0.0,D,2.04,3.51,4.08,2.04,3.7,4.33,1.9,3.34,3.91
BRA1,Serie A,2012,2012-07-15,22:30,Palmeiras,Sao Paulo,1.0,1.0,D,2.7,3.2,2.97,2.75,3.5,2.97,2.6,3.16,2.64
BRA1,Serie A,2012,2012-07-15,22:30,Sport Recife,Portuguesa,2.0,1.0,H,2.23,3.45,3.56,2.25,3.7,3.8,2.06,3.32,3.43
BRA1,Serie A,2012,2012-07-15,22:30,Vasco,Atletico GO,1.0,0.0,H,1.61,4.23,6.09,1.62,4.59,7.95,1.52,3.92,5.97
BRA1,Serie A,2012,2012-07-18,23:30,Gremio,Sport Recife,3.0,1.0,H,1.42,4.94,8.94,1.45,5.4,8.97,1.37,4.41,7.96
BRA1,Serie A,2012,2012-07-18,23:30,Santos,Botafogo RJ,0.0,0.0,D,2.24,3.6,3.37,2.35,3.7,3.42,2.21,3.28,3.1
BRA1,Serie A,2012,2012-07-19,00:30,Nautico,Ponte Preta,3.0,0.0,H,2.25,3.58,3.37,2.27,3.58,3.4,2.15,3.28,3.2
BRA1,Serie A,2012,2012-07-19,00:30,Portuguesa,Cruzeiro,0.0,2.0,A,2.59,3.36,2.97,2.62,3.38,3.0,2.44,3.2,2.78
BRA1,Serie A,2012,2012-07-19,01:50,Atletico-MG,Internacional,3.0,1.0,H,1.69,3.96,5.73,1.85,4.0,5.73,1.72,3.51,4.64
BRA1,Serie A,2012,2012-07-19,01:50,Flamengo RJ,Corinthians,0.0,3.0,A,2.57,3.36,3.01,2.58,3.5,3.1,2.38,3.2,2.89
BRA1,Serie A,2012,2012-07-19,01:50,Sao Paulo,Vasco,0.0,1.0,A,1.89,3.75,4.42,1.92,3.8,4.42,1.86,3.39,4.04
BRA1,Serie A,2012,2012-07-20,01:00,Atletico GO,Figueirense,3.0,2.0,H,1.97,3.44,4.38,2.2,3.8,4.44,1.98,3.34,3.63
BRA1,Serie A,2012,2012-07-20,01:00,Coritiba,Palmeiras,1.0,1.0,D,1.86,3.72,4.53,1.89,3.9,4.55,1.79,3.5,4.21
BRA1,Serie A,2012,2012-07-20,01:00,Fluminense,Bahia,4.0,0.0,H,1.38,5.3,9.11,1.4,5.5,10.13,1.34,4.57,8.98
BRA1,Serie A,2012,2012-07-21,22:30,Sport Recife,Atletico-MG,1.0,4.0,A,3.67,3.5,2.16,3.78,3.5,2.25,3.3,3.3,2.09
BRA1,Serie A,2012,2012-07-21,22:30,Vasco,Santos,2.0,0.0,H,1.78,3.83,5.11,1.8,3.83,5.15,1.69,3.56,4.76
BRA1,Serie A,2012,2012-07-22,01:00,Corinthians,Portuguesa,1.0,1.0,D,1.7,4.09,5.33,1.7,4.09,6.8,1.57,3.74,5.7
BRA1,Serie A,2012,2012-07-22,20:00,Cruzeiro,Flamengo RJ,1.0,0.0,H,1.74,3.94,5.2,1.83,3.94,5.2,1.77,3.53,4.27
BRA1,Serie A,2012,2012-07-22,20:00,Figueirense,Sao Paulo,0.0,2.0,A,2.47,3.45,3.07,2.54,3.45,3.11,2.4,3.22,2.82
BRA1,Serie A,2012,2012-07-22,20:00,Internacional,Atletico GO,4.0,1.0,H,1.67,3.91,6.04,1.67,4.3,6.5,1.57,3.7,5.75
BRA1,Serie A,2012,2012-07-22,20:00,Palmeiras,Nautico,3.0,0.0,H,1.55,4.25,7.13,1.6,4.25,7.13,1.53,3.8,6.11
BRA1,Serie A,2012,2012-07-22,22:30,Bahia,Coritiba,2.0,2.0,D,2.35,3.45,3.28,2.4,3.45,3.29,2.27,3.23,3.0
BRA1,Serie A,2012,2012-07-22,22:30,Botafogo RJ,Gremio,0.0,1.0,A,2.02,3.52,3.98,2.06,3.61,3.99,1.98,3.37,3.58
BRA1,Serie A,2012,2012-07-22,22:30,Ponte Preta,Fluminense,1.0,2.0,A,3.33,3.49,2.29,3.34,3.51,2.4,3.04,3.27,2.22
BRA1,Serie A,2012,2012-07-25,23:30,Figueirense,Internacional,0.0,1.0,A,2.64,3.46,2.8,2.64,3.46,2.86,2.51,3.21,2.67
BRA1,Serie A,2012,2012-07-25,23:30,Ponte Preta,Sport Recife,1.0,1.0,D,1.71,3.98,5.22,1.8,4.05,5.22,1.71,3.61,4.56
BRA1,Serie A,2012,2012-07-26,00:30,Nautico,Coritiba,3.0,4.0,A,2.22,3.71,3.31,2.24,3.71,3.4,2.14,3.32,3.19
BRA1,Serie A,2012,2012-07-26,00:30,Vasco,Botafogo RJ,1.0,0.0,H,2.43,3.66,2.99,2.46,3.66,3.2,2.29,3.3,2.92
BRA1,Serie A,2012,2012-07-26,01:50,Atletico GO,Sao Paulo,4.0,3.0,H,2.67,3.42,2.84,2.9,3.42,2.84,2.68,3.2,2.5
BRA1,Serie A,2012,2012-07-26,01:50,Corinthians,Cruzeiro,2.0,0.0,H,1.99,3.53,4.25,1.99,3.53,4.25,1.92,3.28,3.83
BRA1,Serie A,2012,2012-07-26,01:50,Gremio,Fluminense,1.0,0.0,H,1.79,3.74,5.0,2.02,3.74,5.0,1.79,3.45,4.26
BRA1,Serie A,2012,2012-07-27,01:00,Atletico-MG,Santos,2.0,0.0,H,1.57,4.17,6.99,1.57,4.75,8.33,1.49,3.9,6.58
BRA1,Serie A,2012,2012-07-27,01:00,Flamengo RJ,Portuguesa,0.0,0.0,D,1.78,4.09,4.71,1.82,4.09,5.0,1.73,3.52,4.6
BRA1,Serie A,2012,2012-07-27,01:00,Palmeiras,Bahia,0.0,2.0,A,1.57,4.22,6.75,1.58,4.75,7.69,1.48,3.92,6.67
BRA1,Serie A,2012,2012-07-28,22:30,Coritiba,Gremio,2.0,1.0,H,2.59,3.44,2.92,2.63,3.45,3.2,2.34,3.25,2.88
BRA1,Serie A,2012,2012-07-28,22:30,Internacional,Vasco,0.0,0.0,D,2.04,3.52,4.07,2.1,3.52,4.07,2.02,3.28,3.51
BRA1,Serie A,2012,2012-07-29,01:00,Botafogo RJ,Figueirense,1.0,0.0,H,1.53,4.51,6.81,1.56,4.51,6.81,1.52,3.9,5.98
BRA1,Serie A,2012,2012-07-29,20:00,Bahia,Corinthians,0.0,0.0,D,3.01,3.34,2.57,3.15,3.34,2.57,2.95,3.18,2.33
BRA1,Serie A,2012,2012-07-29,20:00,Fluminense,Atletico-MG,0.0,0.0,D,2.33,3.47,3.29,2.37,3.47,3.6,2.18,3.26,3.16
BRA1,Serie A,2012,2012-07-29,20:00,Sao Paulo,Flamengo RJ,4.0,1.0,H,1.69,4.03,5.5,1.76,4.03,5.5,1.69,3.6,4.76
BRA1,Serie A,2012,2012-07-29,20:00,Sport Recife,Atletico GO,0.0,0.0,D,2.06,3.58,3.92,2.06,3.58,4.0,1.98,3.32,3.65
BRA1,Serie A,2012,2012-07-29,22:30,Cruzeiro,Palmeiras,2.0,1.0,H,2.0,3.34,4.5,2.04,3.8,4.5,1.9,3.32,3.93
BRA1,Serie A,2012,2012-07-29,22:30,Portuguesa,Nautico,3.0,1.0,H,1.66,4.09,5.76,1.8,4.09,5.76,1.68,3.66,4.75
BRA1,Serie A,2012,2012-07-29,22:30,Santos,Ponte Preta,2.0,1.0,H,2.02,3.46,4.18,2.1,3.8,4.33,1.92,3.31,3.85
BRA1,Serie A,2012,2012-08-04,22:30,Atletico GO,Botafogo RJ,1.0,2.0,A,3.06,3.62,2.4,3.06,3.62,2.65,2.76,3.25,2.43
BRA1,Serie A,2012,2012-08-04,22:30,Palmeiras,Internacional,0.0,1.0,A,2.33,3.35,3.41,2.4,3.39,3.41,2.26,3.21,3.06
BRA1,Serie A,2012,2012-08-05,01:00,Portuguesa,Figueirense,2.0,0.0,H,1.79,3.77,5.05,1.85,3.77,5.05,1.8,3.47,4.25
BRA1,Serie A,2012,2012-08-05,20:00,Coritiba,Fluminense,0.0,2.0,A,2.59,3.6,2.8,2.63,3.6,2.81,2.51,3.27,2.65
BRA1,Serie A,2012,2012-08-05,20:00,Gremio,Bahia,3.0,1.0,H,1.34,5.15,12.11,1.4,5.3,12.17,1.33,4.53,9.43
BRA1,Serie A,2012,2012-08-05,20:00,Sao Paulo,Sport Recife,1.0,0.0,H,1.44,4.88,8.17,1.44,4.97,9.0,1.39,4.29,7.79
BRA1,Serie A,2012,2012-08-05,20:00,Vasco,Corinthians,0.0,0.0,D,2.15,3.5,3.69,2.27,3.5,3.8,2.06,3.24,3.48
BRA1,Serie A,2012,2012-08-05,22:30,Cruzeiro,Ponte Preta,1.0,2.0,A,1.62,4.28,5.82,1.65,4.4,5.9,1.61,3.72,5.28
BRA1,Serie A,2012,2012-08-05,22:30,Nautico,Santos,3.0,0.0,H,2.17,3.31,3.87,2.25,3.35,3.87,2.11,3.23,3.34
BRA1,Serie A,2012,2012-08-08,23:30,Internacional,Nautico,0.0,0.0,D,1.41,5.0,9.0,1.44,5.0,9.26,1.39,4.34,7.83
BRA1,Serie A,2012,2012-08-08,23:30,Sport Recife,Vasco,0.0,2.0,A,3.1,3.27,2.54,3.45,3.3,2.62,3.02,3.18,2.29
BRA1,Serie A,2012,2012-08-09,00:30,Bahia,Portuguesa,0.0,0.0,D,2.63,3.15,3.1,2.7,3.29,3.1,2.43,3.12,2.85
BRA1,Serie A,2012,2012-08-09,00:30,Corinthians,Atletico GO,1.0,1.0,D,1.6,4.08,6.37,1.6,4.17,8.33,1.47,3.9,6.89
BRA1,Serie A,2012,2012-08-09,01:50,Botafogo RJ,Palmeiras,1.0,2.0,A,1.83,3.63,5.03,1.92,3.63,5.03,1.81,3.37,4.29
BRA1,Serie A,2012,2012-08-09,01:50,Figueirense,Flamengo RJ,0.0,2.0,A,2.31,3.39,3.43,2.5,3.39,3.43,2.28,3.24,2.99
BRA1,Serie A,2012,2012-08-09,01:50,Santos,Cruzeiro,4.0,2.0,H,2.35,3.49,3.24,2.44,3.49,3.37,2.3,3.2,2.99
BRA1,Serie A,2012,2012-08-10,01:00,Atletico-MG,Coritiba,1.0,0.0,H,1.38,5.3,9.0,1.41,5.3,9.15,1.36,4.48,7.97
BRA1,Serie A,2012,2012-08-10,01:00,Fluminense,Sao Paulo,2.0,1.0,H,2.21,3.31,3.74,2.22,3.32,3.75,2.07,3.19,3.48
BRA1,Serie A,2012,2012-08-10,01:00,Ponte Preta,Gremio,0.0,0.0,D,2.8,3.68,2.54,2.93,3.68,2.54,2.73,3.27,2.43
BRA1,Serie A,2012,2012-08-11,22:30,Bahia,Cruzeiro,0.0,1.0,A,2.82,3.41,2.68,3.07,3.41,2.68,2.79,3.12,2.48
BRA1,Serie A,2012,2012-08-11,22:30,Santos,Atletico GO,2.0,2.0,D,1.9,3.5,4.76,1.9,3.5,4.76,1.82,3.36,4.18
BRA1,Serie A,2012,2012-08-11,22:30,Sport Recife,Figueirense,0.0,1.0,A,1.74,3.65,5.84,1.77,3.75,6.0,1.66,3.52,5.04
BRA1,Serie A,2012,2012-08-12,01:00,Flamengo RJ,Nautico,2.0,0.0,H,1.93,3.57,4.53,1.94,3.6,4.55,1.81,3.4,4.21
BRA1,Serie A,2012,2012-08-12,20:00,Atletico-MG,Vasco,1.0,0.0,H,1.78,3.74,5.26,1.9,3.74,5.26,1.8,3.38,4.33
BRA1,Serie A,2012,2012-08-12,20:00,Coritiba,Corinthians,1.0,2.0,A,2.77,3.37,2.76,2.77,3.38,2.8,2.53,3.18,2.67
BRA1,Serie A,2012,2012-08-12,20:00,Internacional,Ponte Preta,2.0,1.0,H,1.54,4.34,7.02,1.56,4.34,7.02,1.53,3.8,6.1
BRA1,Serie A,2012,2012-08-12,20:00,Sao Paulo,Gremio,1.0,2.0,A,2.31,3.3,3.5,2.31,3.45,3.75,2.11,3.27,3.33
BRA1,Serie A,2012,2012-08-12,22:30,Fluminense,Palmeiras,1.0,0.0,H,1.83,3.5,5.25,1.83,3.7,5.26,1.73,3.44,4.68
BRA1,Serie A,2012,2012-08-12,22:30,Portuguesa,Botafogo RJ,1.0,1.0,D,2.49,3.43,3.05,2.7,3.43,3.05,2.49,3.18,2.73
BRA1,Serie A,2012,2012-08-15,23:30,Cruzeiro,Fluminense,1.0,1.0,D,2.58,3.28,3.01,2.58,3.31,3.01,2.43,3.17,2.79
BRA1,Serie A,2012,2012-08-15,23:30,Gremio,Portuguesa,1.0,2.0,A,1.63,3.77,6.94,1.64,4.0,7.25,1.54,3.73,6.15
BRA1,Serie A,2012,2012-08-16,00:30,Atletico GO,Atletico-MG,1.0,1.0,D,3.76,3.37,2.16,4.0,3.5,2.16,3.62,3.3,1.98
BRA1,Serie A,2012,2012-08-16,00:30,Ponte Preta,Bahia,0.0,2.0,A,1.61,4.15,6.19,1.7,4.15,6.19,1.62,3.63,5.21
BRA1,Serie A,2012,2012-08-16,01:50,Botafogo RJ,Sport Recife,2.0,0.0,H,1.41,4.93,8.82,1.5,5.2,8.82,1.41,4.19,7.39
BRA1,Serie A,2012,2012-08-16,01:50,Nautico,Sao Paulo,3.0,0.0,H,2.45,3.58,2.96,2.5,3.58,3.0,2.41,3.24,2.77
BRA1,Serie A,2012,2012-08-16,01:50,Palmeiras,Flamengo RJ,1.0,0.0,H,1.79,3.7,5.2,1.92,3.9,5.2,1.82,3.43,4.17
